run_name,avg_yearly_observed_loss,N_fishermen,wages,observed_events,threshold,total_predicted_loss,predicted_vs_observed_ratio
run_g1,169925.14285714287,2109,12,47,0.1716413548373023,5852135.0879999995,34.439488998516985
run_g10,3237360.0,3290,12,574,1.772023312225,7453981.92,2.302487804878049
run_g3,1236342.857142857,14424,12,50,1.28785625,13325006.592,10.77776
run_g4,3446784.0,5236,12,384,1.811830576121807,8497022.688,2.465203125
run_g5,1406895.4285714286,3853,12,213,1.7472943468,7841163.239999999,5.57338028169014
run_g6,1308497.142857143,2827,12,270,1.6651830412,5559532.968,4.248792592592593
run_g7,2755704.0,4606,12,349,1.288127783916666,8933944.992,3.241982808022923
run_g8,4196160.0,3948,12,620,1.742758559233333,10627621.200000001,2.5327016129032263
run_g9,2859480.0,3290,12,507,1.80459727275,6548902.92,2.2902426035502956
