variable,run_path,threshold_label,threshold_value,mean_loss,median_loss,p99_loss,mean_events,median_events,p99_events,mean_tp,median_tp,p99_tp,mean_fp,median_fp,p99_fp,mean_tn,median_tn,p99_tn,mean_fn,median_fn,p99_fn,mean_tp_loss,median_tp_loss,p99_tp_loss,mean_fp_loss,median_fp_loss,p99_fp_loss,mean_fn_loss,median_fn_loss,p99_fn_loss,obs_tp,obs_fp,obs_tn,obs_fn,mean_obs_yearly_loss,mean_obs_yearly_events,mean_loss_minus_obs,run_dir,obs_precision,obs_recall,obs_accuracy,obs_f1,mean_precision,mean_recall,mean_accuracy,mean_f1
swh_min_waverys,run_g1,fold1,0.65,333000.98,332360.0,569760.0,28.054,28.0,48.0,2.49125,2.0,6.0,14.2995,14.0,23.0,0.0,0.0,0.0,1.48175,1.0,5.0,49898.5125,47480.0,142440.0,283102.4675,284880.0,486670.0,22122.7125,11870.0,83090.0,34.0,167.0,2343.0,13.0,79698.57142857143,6.714285714285714,253302.40857142856,run_g1,0.1691542288557214,0.723404255319149,0.9296050058662495,0.2741935483870968,0.1483703825022706,0.6270450541152781,0.13633876043234366,0.2399614713141894
anom_swh_p25_deseasonalized_detrended_rolling_mean_14_lag_5,run_g2,fold4,0.0631857787730522,1042988.5959428572,1021286.262857143,1926517.2685714287,44.935,44.0,83.0,0.7405,1.0,3.0,7.747,8.0,14.0,0.0,0.0,0.0,3.061,3.0,8.0,40758.606308571434,23211.05142857143,208899.46285714288,1002229.9896342858,998075.2114285714,1856884.1142857145,124683.9655114286,116055.25714285715,371376.8228571429,12.0,300.0,2198.0,41.0,175740.81795918368,7.571428571428571,867247.7779836734,run_g2,0.038461538461538464,0.22641509433962265,0.866326930615445,0.06575342465753425,0.0872459499263623,0.19479152965934501,0.06412088149976188,0.12051428106436651
anom_swh_p80_swan,run_g3,fold3,0.3175288322364742,4267619.12172245,4226290.873469388,6989634.906122451,26.25425,26.0,43.0,2.30475,2.0,6.0,13.57875,13.0,21.0,0.0,0.0,0.0,2.7415,3.0,7.0,597654.4218857143,487648.94693877554,1788046.1387755102,3669964.699836734,3576092.2775510205,6176886.66122449,642558.7624163267,650198.5959183674,1788046.1387755102,28.0,158.0,2341.0,30.0,1346839.9486880468,8.285714285714286,2920779.1730344025,run_g3,0.15053763440860216,0.4827586206896552,0.926476339460305,0.22950819672131148,0.14510340919822456,0.45672529105771614,0.123744966442953,0.2202367443471613
swh_median_waverys,run_g4,fold3,1.5142499999999994,3754155.9,3740000.0,5385600.0,50.18925,50.0,72.0,12.95625,13.0,20.0,12.394,12.0,20.0,0.0,0.0,0.0,15.729,16.0,24.0,2113343.1,2094400.0,3515600.0,1640812.8,1645600.0,2842400.0,1992915.1,1944800.0,3291200.0,198.0,155.0,2018.0,186.0,4103314.285714286,54.857142857142854,-349158.385714286,run_g4,0.5609065155807366,0.515625,0.8666405944466171,0.537313432835821,0.5110896342245145,0.4516694119800246,0.31539645928297133,0.4795458541144248
swh_p75_swan,run_g5,fold3,2.26457132,987757.3558104396,967357.043956044,1560253.2967032972,31.65375,31.0,50.0,7.5605,7.0,14.0,11.23325,11.0,19.0,0.0,0.0,0.0,9.57375,9.0,17.0,440638.93478846154,436870.92307692306,873741.8461538462,547118.4210219781,530486.1208791209,967357.043956044,495037.1659780221,499281.0549450549,936151.978021978,100.0,122.0,2222.0,113.0,949525.5777080064,30.428571428571427,38231.77810243319,run_g5,0.45045045045045046,0.4694835680751174,0.9080954243253813,0.45977011494252873,0.40228799467908216,0.44125071129462917,0.266519784965189,0.42086951681140056
anom_swh_mean_waverys,run_g6,fold0,0.32435546875,1205510.2396071432,1200101.885714286,1800152.8285714292,38.17125,38.0,57.0,5.916,6.0,11.009999999999764,19.0785,19.0,28.0,0.0,0.0,0.0,14.23625,14.0,23.0,313131.8472857143,315816.28571428574,663214.2,892378.3923214287,884285.6000000002,1421489.1019999932,890499.2854214287,884285.6000000001,1579081.4285714289,69.0,199.0,2095.0,201.0,1218148.5306122452,38.57142857142857,-12638.291005101986,run_g6,0.2574626865671642,0.25555555555555554,0.84399375975039,0.25650557620817843,0.23669207225589634,0.2935652346512176,0.15080007392160488,0.26207866568468385
swh_mean_waverys,run_g7,p75,0.3880156250000001,127766.59714285714,126925.71428571428,185099.99999999997,48.318,48.0,70.0,14.01325,14.0,22.0,16.26325,16.0,25.0,0.0,0.0,0.0,17.06525,17.0,26.0,65811.64392857143,66107.14285714286,113704.2857142857,61954.95321428571,60818.57142857144,100482.85714285714,65099.008928571435,63462.85714285717,108415.71428571425,174.0,164.0,2044.0,175.0,131836.5306122449,49.857142857142854,-4069.9334693877754,run_g7,0.514792899408284,0.498567335243553,0.8674227610481032,0.5065502183406112,0.4628424685812429,0.4508985311388902,0.2960019433164173,0.45679243745416026
swh_max_swan,run_g8,fold0,2.195,204320.6176071428,203561.35714285716,269098.7549999995,87.3245,87.0,115.00999999999976,24.90725,25.0,33.0,22.91275,23.0,33.0,0.0,0.0,0.0,21.48975,21.0,31.0,127466.26119642856,126348.4285714286,180163.50000000003,76854.3564107143,74873.14285714288,116989.28571428572,78483.4322142857,77212.92857142858,119329.0714285714,382.0,230.0,1707.0,238.0,207238.1632653061,88.57142857142857,-2917.5456581632898,run_g8,0.6241830065359477,0.6161290322580645,0.8169730152522487,0.6201298701298701,0.5208542450857382,0.5368288897989094,0.3593614174051991,0.5287209314667204
duration_intensity_p60_waverys,run_g9,mean,13.929166666666664,84872.96914285714,85028.57142857139,114505.1428571428,74.86275,75.0,101.0,25.9825,26.0,35.0,18.68775,19.0,28.0,0.0,0.0,0.0,13.96925,14.0,23.0,60626.50514285713,60086.85714285713,86173.62285714262,24246.464000000004,23808.000000000004,36278.857142857145,21348.973714285716,21540.571428571428,36278.857142857145,375.0,150.0,1904.0,132.0,82113.30612244896,72.42857142857143,2759.663020408174,run_g9,0.7142857142857143,0.7396449704142012,0.8898867629832097,0.7267441860465116,0.5816510988857237,0.6503469810458866,0.44308870300735853,0.6140838079931933
swh_max_swan,run_g10,fold3,2.1366665,957255.9717047622,955086.643809524,1281213.7904761906,82.18625,82.0,110.0,24.20375,24.0,33.0,20.87975,21.0,30.0,0.0,0.0,0.0,18.01475,18.0,27.0,639657.6322933335,640606.8952380953,920144.4495238096,317598.3394114286,314479.7485714287,489190.72,285739.79377142864,279537.5542857144,465895.9238095238,386.0,191.0,1813.0,174.0,931791.8476190476,80.0,25464.12408571446,run_g10,0.6689774696707106,0.6892857142857143,0.8576443057722309,0.6789797713280564,0.5368649284106158,0.5732972512050405,0.38358829286073703,0.5544832878971844
TOTAL,TOTAL,TOTAL,23.78274019142619,12965248.34868051,12857998.352663526,20081835.988301937,511.94899999999996,509.0,749.0099999999998,121.07600000000001,120.0,183.00999999999976,157.0745,156.0,241.0,0.0,0.0,0.0,117.36225000000002,116.0,191.0,4448987.465329653,4298576.530968079,8492127.505881738,8516260.883350855,8393398.672715856,14494628.641466241,4618488.200455778,4548244.419434852,8778865.934892727,1758.0,1836.0,20685.0,1303.0,9226247.579729388,437.2857142857143,3739000.7689511217,TOTAL,0.48914858096828046,0.5743221169552434,0.8772965366273161,0.5283245679939895,0.4352895285106444,0.5077876557137959,0.3061241388551949,0.46875198114554373
