threshold_label,threshold_value,mean_loss,std_loss,max_loss,zero_prob,method,block_length,window_days,trigger_feature,trigger_threshold,min_days,n_fishermen,daily_wage,n_simulations,n_jobs
fold0,1.9399999,1532159.8942876195,158815.57349082243,2096531.657142857,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,1.9399999,1,1319.0,8.830476190476192,4000,12
fold1,2.16800002,881047.0459676194,130977.5574209108,1351098.1790476197,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.16800002,1,1319.0,8.830476190476192,4000,12
fold2,2.0533333,1172939.5777828575,144687.87030408662,1700520.1219047625,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.0533333,1,1319.0,8.830476190476192,4000,12
fold3,2.1366665,957255.9717047622,134815.07878250402,1397687.7714285722,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.1366665,1,1319.0,8.830476190476192,4000,12
fold4,1.9905000650000004,1370572.6286628575,155968.3660683677,1933468.0838095245,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,1.9905000650000004,1,1319.0,8.830476190476192,4000,12
fold5,2.2166667,795004.8043885718,124140.97414928749,1234624.1980952388,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.2166667,1,1319.0,8.830476190476192,4000,12
mean,2.084194414166667,1096215.2546800002,142554.64576882691,1572398.742857143,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.084194414166667,1,1319.0,8.830476190476192,4000,12
median,2.0949999,1074306.4988628572,141383.1362536099,1537456.5485714285,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.0949999,1,1319.0,8.830476190476192,4000,12
p75,2.16016664,886049.6034495241,131255.3541545237,1362745.5771428577,0.0,speed_optimized_block_bootstrap,7,20,swh_max_swan,2.16016664,1,1319.0,8.830476190476192,4000,12
