run_name,mindur,Years_Count,N_FISHERMEN,WAVE_THRESHOLD,min_duration,Events,Avg_Obs_Duration,Avg_Predicted_Events,P99_Predicted_Events,TP_Events,FP_Events,FN_Events,Precision,Recall,F1_Score,Avg_Pred_Duration_Actual,Total_Obs_Days,Total_Pred_Days,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost,Reliable_Events,Unreliable_Events,Reliable_Cost,Unreliable_Cost
run_g10,3,7,3290.0,1.65,3.0,13.714285714285714,4.902360944377752,28.742142857142856,35.43,7.0,20.428571428571427,6.714285714285714,0.2561029009304871,0.5300370148059224,0.3376992567777614,7.5588761174968075,67.0,206.57142857142858,0.16529490546218487,0.8137972935374184,10.377821952283895,31.29144007603041,2645160.0,5644972.598859623,17036184.0,3782131.641235948,11414243.280000001,11.571428571428571,2.142857142857143,2301120.0,344040.0
run_g10,5,7,3290.0,1.65,5.0,6.0,7.105158730158729,17.798571428571428,23.285714285714285,3.4285714285714284,15.0,2.5714285714285716,0.1888218205942664,0.6170634920634921,0.28403880647097385,9.496755759720157,41.714285714285715,175.28571428571428,0.16743799603174603,0.7812448229206177,12.397006931453449,34.92468253968253,1646880.0,2928371.662437876,8246920.799999998,1962009.0138333773,5525436.935999999,5.571428571428571,0.42857142857142855,1488960.0,157920.0
run_g10,7,7,3290.0,1.65,7.0,2.4285714285714284,9.202380952380953,10.964571428571428,16.0,2.2857142857142856,9.0,0.14285714285714285,0.21518560804275086,0.9523809523809523,0.34173207744636314,12.28161719233148,22.571428571428573,138.0,0.1477380952380952,0.7753854280028704,14.077696853198828,36.19559523809523,891120.0,1346445.7012454115,3459801.599999999,902118.6198344256,2318067.0719999997,1.5714285714285714,0.8571428571428571,547080.0,344040.0
run_g3,3,3,14424.0,1.15,3.0,2.6666666666666665,3.8333333333333335,20.083333333333332,27.0,1.6666666666666667,18.333333333333332,1.0,0.08453732370141036,0.7222222222222222,0.14761904761904762,5.269478844169247,10.0,108.0,0.10182638888888888,0.7732141328078556,6.74100281844331,17.176944444444445,1730880.0,3007055.6873135553,7379318.399999999,2014727.3105000823,4944143.328000001,1.3333333333333333,1.3333333333333333,865440.0,865440.0
run_g3,5,2,14424.0,1.15,5.0,1.0,5.5,9.07,14.0,0.5,10.5,0.5,0.0333333333333333,0.5,0.0625,6.680952380952381,5.5,78.5,0.0665,0.7317460317460317,7.470238095238097,14.73,951984.0,1293008.5714285714,2549586.24,866315.7428571429,1708222.7808,0.5,0.5,432720.0,519264.0
run_g4,3,7,5236.0,1.65,3.0,9.428571428571429,4.4387362637362635,16.543,23.0,3.5714285714285716,12.571428571428571,5.857142857142857,0.21894757903161263,0.38292124542124545,0.25943414837424056,9.693047218887555,43.285714285714285,153.0,0.16641145833333332,0.8456390166160302,14.473018096972416,44.475094191522764,2719728.0,7495284.162804662,23171813.279999994,5021840.389079124,15525114.897599995,7.0,2.4285714285714284,2172192.0,547536.0
run_g4,5,6,5236.0,1.6499999999999997,5.0,4.166666666666667,6.280555555555556,10.74,15.009999999999993,1.6666666666666667,8.333333333333334,2.5,0.16835016835016833,0.33055555555555555,0.22049486461251164,13.636363636363635,27.333333333333332,134.33333333333334,0.18097847222222221,0.8222459948695661,16.116115625649655,47.79013888888888,1717408.0,3884871.3336004703,11341280.719999997,2602863.793512315,7598658.082399998,3.0,1.1666666666666667,1309000.0,408408.0
run_g4,7,4,5236.0,1.65,7.0,2.25,8.3125,7.688,12.0,1.0,7.0,1.25,0.13392857142857142,0.375,0.19444444444444445,16.705853174603174,20.25,135.0,0.19237499999999996,0.8426075954255775,19.60745963650642,57.077499999999986,1272348.0,2695905.2755665127,7860754.439999999,1806256.5346295636,5266705.4748,2.0,0.25,1146684.0,125664.0
run_g5,3,5,3853.0,1.75,3.0,6.4,4.179206349206349,23.1014,30.0,4.2,18.4,2.4,0.19106755182270052,0.5957142857142858,0.28201408972932884,6.797435478327927,27.6,152.8,0.15724384920634918,0.8083992250192011,8.867522704524882,24.957790476190464,1276113.6,2603950.8729872713,7325909.255999995,1744647.0849014719,4908359.201519998,4.8,1.6,1035686.4,240427.2
run_g5,5,4,3853.0,1.75,5.0,2.75,5.833333333333333,12.4,17.00999999999999,2.0,12.25,0.75,0.15757575757575754,0.6166666666666667,0.23937908496732027,8.65369318181818,16.75,123.5,0.14790416666666667,0.7763440093743308,10.375394673743202,26.97424999999999,774453.0,1325222.4062960106,3476022.479999999,887899.0122183271,2328935.0615999997,2.25,0.5,658863.0,115590.0
run_g5,7,2,3853.0,1.75,7.0,2.0,8.0,7.292,12.0,2.0,7.5,0.0,0.21590909090909088,1.0,0.35384615384615387,10.5,16.0,100.5,0.1425624999999999,0.8003974343132886,12.442061033927352,30.04249999999999,739776.0,1150542.26792933,2778090.059999999,770863.3195126513,1861320.3401999995,2.0,0.0,739776.0,0.0
run_g6,3,7,2827.0,1.5,3.0,4.857142857142857,8.452380952380953,26.486428571428572,34.0,2.7142857142857144,23.714285714285715,2.5714285714285716,0.10131169178546749,0.586734693877551,0.16681924095194808,7.700490018887678,28.285714285714285,195.57142857142858,0.13132440476190474,0.7397563382299934,10.716883315379212,27.57690476190476,959564.5714285715,1622336.6267031182,4376389.851428571,1086965.5398910893,2932181.200457143,2.7142857142857144,2.142857142857143,402241.71428571426,557322.8571428572
run_g6,5,7,2827.0,1.5,5.0,1.7142857142857142,10.30952380952381,15.615428571428572,21.0,1.2857142857142858,14.142857142857142,0.5714285714285714,0.08380480397287117,0.6666666666666667,0.14597154651334215,10.435534854967628,17.714285714285715,158.42857142857142,0.0998095238095238,0.6809277427682997,10.416156997685066,24.264999999999997,600939.4285714285,620856.3200437193,1473900.8742857145,415973.734429292,987513.5857714287,0.7142857142857143,1.0,179312.57142857142,421626.85714285716
run_g6,7,6,2827.0,1.5,7.0,1.1666666666666667,12.333333333333334,10.120166666666666,14.0,0.8333333333333334,9.333333333333334,0.5,0.08480639730639732,0.5,0.14179894179894179,13.217896917896917,16.333333333333332,133.83333333333334,0.06164583333333332,0.6728667696301608,10.998374797093424,21.50166666666667,554092.0,467230.7886652083,948006.1799999998,313044.62840568967,635164.1406,0.3333333333333333,0.8333333333333334,124388.0,429704.0
run_g7,3,6,4606.0,1.25,3.0,6.833333333333333,4.506535947712418,24.240333333333336,31.0,4.0,19.666666666666668,3.0,0.16931531029357114,0.5115740740740741,0.2309125008559,6.290723310505919,33.5,148.5,0.12446895424836597,0.7719264730500711,7.67818173482392,21.32679738562091,1851612.0,2964151.486834723,8136038.3999999985,1985981.4961792647,5451145.727999999,4.5,2.3333333333333335,1335740.0,515872.0
run_g7,5,4,4606.0,1.25,5.0,4.5,6.336309523809524,12.42425,17.0,2.25,12.5,2.25,0.1544117647058823,0.39285714285714285,0.2178571428571428,8.08718487394958,30.0,119.75,0.09014806547619045,0.7274525923410319,9.76385473286873,23.81559523809524,1658160.0,2247861.9989073705,5499564.000000001,1506067.5392679386,3684707.8800000004,1.75,2.75,677082.0,981078.0
run_g7,7,3,4606.0,1.25,7.0,2.0,9.388888888888888,6.947,11.0,1.3333333333333333,7.666666666666667,0.6666666666666666,0.16849816849816845,0.7777777777777777,0.2624338624338624,10.805860805860808,18.333333333333332,95.33333333333333,0.1064722222222222,0.7194065307514328,12.214356362215398,29.21999999999996,1013320.0,1369939.7174176036,3305449.8399999947,917859.6106697945,2214651.392799997,0.6666666666666666,1.3333333333333333,386904.0,626416.0
run_g8,3,7,3948.0,1.8,3.0,13.428571428571429,4.846179259337155,26.088,33.0,7.714285714285714,17.857142857142858,6.0,0.30919349488315007,0.5840884679230544,0.39376763785346214,7.0157209202036785,65.14285714285714,176.42857142857142,0.16299602543446529,0.7974540190277459,9.503105078945664,28.10423085498461,3086208.0,6057500.967867787,17980207.199999996,4058525.6484714174,12046738.824,11.142857142857142,2.2857142857142856,2700432.0,385776.0
run_g8,5,7,3948.0,1.8,5.0,6.142857142857143,6.689455782312925,14.882285714285715,20.0,3.7142857142857144,11.428571428571429,2.4285714285714284,0.2481336124193267,0.6206349206349205,0.3477259994907054,9.33709445316588,40.714285714285715,140.42857142857142,0.160703089569161,0.7753373347074098,11.574878080217411,31.886178004535143,1928880.0,3351679.4847824513,9260519.04,2245625.254804243,6204547.756799999,5.285714285714286,0.8571428571428571,1719072.0,209808.0
run_g8,7,7,3948.0,1.8,7.0,2.5714285714285716,9.0,9.130142857142857,14.0,1.7142857142857142,8.428571428571429,0.8571428571428571,0.1641941391941392,0.6904761904761905,0.26041703394644566,11.08507326007326,22.0,113.57142857142857,0.146797619047619,0.7810032022120447,13.430037145193376,34.44392857142858,1042272.0,1641906.3127929966,4200829.920000001,1100077.229571308,2814556.046400001,1.7142857142857142,0.8571428571428571,683568.0,358704.0
run_g9,3,7,3290.0,1.65,3.0,10.571428571428571,4.735374149659863,27.506857142857143,34.142857142857146,4.428571428571429,22.0,6.142857142857143,0.16458912223637,0.4388321995464853,0.23644385984058694,7.352897205243532,50.285714285714285,192.57142857142858,0.16886519274376416,0.8292774134402873,10.748008808285432,33.06945634920635,1985280.0,4441075.959179387,13623081.6,2975520.89265019,9127464.672,9.428571428571429,1.1428571428571428,1844280.0,141000.0
run_g9,5,7,3290.0,1.65,5.0,3.857142857142857,7.15952380952381,16.049,21.0,1.5714285714285714,13.857142857142858,2.2857142857142856,0.10301620648259302,0.4666666666666667,0.16298925367248346,9.979966986794718,28.285714285714285,154.57142857142858,0.16998988095238093,0.7850944228354055,12.980938013489835,37.16590476190476,1116720.0,1968393.802259126,5623249.200000001,1318823.8475136142,3767576.9640000006,3.7142857142857144,0.14285714285714285,1082880.0,33840.0
run_g9,7,5,3290.0,1.65,7.0,2.0,10.6,10.1628,15.0,1.4,10.0,0.6,0.12787878787878787,0.6666666666666666,0.2139194139194139,12.722890442890442,21.4,145.2,0.14379999999999998,0.7327903681107291,13.704168848123564,36.65933333333337,844872.0,1097202.6627179307,2952946.080000003,735125.7840210138,1978473.873600002,1.4,0.6,639576.0,205296.0
